Burial,Structure,Date,Age,Sex,LAC,Sr Tooth,87Sr/86Sr,Average ?18O (‰PDB) canines,Average ?18O (‰PDB) molars
PNT-001,5C-54,Preclassic,20–35 years,F,0.70814,M3,0.70814,-1.1,-0.1
PNT-003•,5C-54,Preclassic,20–50 years,M?,0.70792,M3,0.70792,-2.4,-1
PNT-004,5C-54-sub1,Preclassic,20–35 years,F,0.70794,Canine,0.70794,-2.3,
PNT-006,5C-49,Late Classic,20–35 years,I,,M3,,,-2.8
PNT-009,5C-49,Late Classic,15 ± 3 years,I,0.70827,M3,0.70827,-2.1,-1
PNT-010,5D-87,Late Classic,20–35 years,F?,0.70789,Canine,0.70789,-3.5,
PNT-014,6D-6,Late Classic,5.5 ± 1.5 years,I,0.70811,Canine,0.70811,-2.3,
PNT-019,5D-86,Early Classic,35–50 years,I,0.70814,M3,0.70814,,-3
PNT-021,5D-86,Preclassic,Adult,I,0.70848,M3,0.70848,,-2.1
PNT-022#12,5D-86 Plaza,Early Classic,8 ± 2 years,I,0.70789,Canine,0.70789,,
PNT-022B,5D-86 Plaza,Early Classic,15 ± 3 years,I,0.70789,Canine,0.70789,-3.2,-3.9
PNT-022D,5D-86 Plaza,Early Classic,35–50 years,M?,0.70775,Canine,0.70775,-3.8,
PNT-023,5D-82,Early Classic,9 ± 3 months,I,0.70815,M3,0.70815,,
PNT-025,5D-84,Early Classic,20–35 years,M?,,,,,-3
PNT-028,5C-47,Late Classic,20–50 years,M?,0.70819,M3,0.70819,-1.8,-1.2
PNT-038A,5C-45,Late Classic,Adult,F,0.70841,Canine,0.70841,-2,
PNT-039,5C-45,Late Classic,Adult,I,0.70825,M3,0.70825,,-2
PNT-041A,5C-46,Terminal Classic,30–40 years,M,0.70766,Canine,0.70766,-1.3,
PNT-041B,5C-46,Terminal Classic,20–50 years,I,0.70808,M3,0.70808,,-2.8
PNT-046,6C-50,Late Classic,20–35 years,F?,0.70818,M3,0.70818,,-1.6
PNT-048,6C-50,Late Classic,20–50 years,M,,,,,-3.3
PNT-049,6C-50,Late Classic,20–35 years,M?,0.70806,M3,0.70806,,-2.1
PNT-055,6C-53,Late Classic,35–50 years,M,0.7083,M3,0.7083,,-3.2
PNT-058A,Gr. 6C-XVI-sub-73–75,Late Classic,15 ± 3 years,F,0.70802,Canine,0.70802,-2.8,
PNT-068A,5C-42,Terminal Classic,20–35 years,F,0.70797,M3,0.70797,,-2.4
PNT-071,7C-26,Late Classic,>50 years,M?,0.70829,Canine,0.70829,-2.7,
PNT-073,6D-7,Late Classic,20–35 years,F,0.70786,M3,0.70786,-3.5,-2.2
PNT-081,6D-14,Late Classic,20–35 years,M?,0.70798,M3,0.70798,,-2.4
PNT-082,6D-14 patio,Late Classic,20–50 years,M?,,,,-4.4,
PNT-083,6D-14,Late Classic,35–50 years,F,0.70798,Canine,0.70798,-1.8,-3.3
PNT-088,8B-4,Late Classic,20–50 years,M?,0.70822,Canine,0.70822,-3.3,-3.5
PNT-089,7B-11,Late Classic,20–35 years,M?,0.70828,M3,0.70828,,-2
PNT-090,7B-11,Late Classic,20–35 years,I,0.70415,M3,0.70415,-4.7,
PNT-095,7B-15,Late Classic,20–35 years,F?,,,,-4.1,-4.7
PNT-096A,Gr. 6D-XX,Late Classic,20–35 years,M,,,,-3.3,
PNT-097,Gr. 6D-XX,Late Classic,35–50 years,M,,,,,-2
PNT-104A,6C-35,Early Classic,20–35 years,F?,,,,,-4.7
PNT-104B,6C-35,Early Classic,35–50 years,F?,0.70801,Canine,0.70801,-2.8,
PNT-108A,6C-32,Late Classic,20–35 years,M,,,,-3.9,
PNT-109A,6C-35,Late Classic,35–50 years,M,,,,,-2
PNT-117,7B-18,Late Classic,>50 years,I,0.70779,Canine,0.70779,-1.8,
PNT-118,7B-18,Late Classic,Adult,F,,,,,-3.5
PNT-124B,7B-18,Late Classic,>35 years,M?,,,,-1.6,
PNT-126,7B-18,Late Classic,20–35 years,I,0.70813,Canine,0.70813,-2.1,-2.4
PNT-132,7B-18,Early Classic,Adult,I,0.70753,Canine,0.70753,-3.1,-4.1
PNT-138B,6C-25,Late Classic,35–50 years,I,,,,-2.6,
PNT-141A,Gr. 6C-XVI-sub-50,Early Classic,12–15 years,F,0.70682,Canine,0.70682,-4,
PNT-142,6C-32/35,Late Classic,35–50 years,M?,,,,-2.9,-2.6
PNT-144,7B-18,Late Classic,35–50 years,M?,0.70835,Canine,0.70835,-2,
PNT-145,Gr. 6D-XX,Late Classic,6 ± 2 years,I,,,,-2.5,
PNT-146,Gr. 6D-XX,Late Classic,20–35 years,F,,,,-1.9,-2.6
PNT-147,Gr. 6D-XX,Late Classic,>50 years,I,,,,-1.9,-1
PNT-149,Quarried structure,Late Classic,20–35 years,M?,,,,-3.1,-2.5
PNT-154,Gr. 6C-XVI-sub-88,Late Classic,35–50 years,M,0.70752,Canine,0.70752,-1,
PNT-162,6D-20,Late Classic,>50 years,F?,0.7083,Canine,0.7083,-3.5,
PNT-165,6D-5 plaza,Early Classic,20–35 years,M?,0.7079,Canine,0.7079,-2.9,-2.7
PNT-167,6D-19,Early Classic,15–18 years,F?,0.7083,M3,0.7083,,-3.9
PNT-172D,6D-22,Early Classic,Adult,I,0.70831,Canine,0.70831,-2.4,
PNT-174,"Gr. 6C-XVI, Sub-86/87",Early Classic,Adult,I,,,,,-2.3
PNT-180,3D-53,Late Classic,5 ± 0.5 years,I,,,,-2.2,
PNT-182,3.00E-43,Late Classic,20–35 years,M,0.70799,M3,0.70799,-2.4,-2.3
PNT-183,3D-53,Late Classic,20–35 years,M,,,,-2.5,-3
PNT-184,3D-54,Late Classic,18–20 years,F,,,,-3.1,-3.3
PNT-185,3D-37,Late Classic,35–50 years,M?,0.70836,Canine,0.70836,-3,
